,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
3053.78,35.77929,3053.78,106.50403,3053.78,-26.65807,3053.78,38.38431,3053.78,85.26707,3053.78,93.71278
3052.54,36.64542,3052.54,101.17628,3052.54,-27.9464,3052.54,34.15938,3052.54,80.05477,3052.54,92.26182
3051.31,25.69672,3051.31,98.27114,3051.31,-26.57205,3051.31,33.10526,3051.31,78.065,3051.31,84.52357
3050.07,31.37988,3050.07,97.18676,3050.07,-24.52263,3050.07,27.55494,3050.07,73.48424,3050.07,67.50254
3048.84,27.32094,3048.84,88.17148,3048.84,-22.07834,3048.84,26.99825,3048.84,65.13878,3048.84,60.08597
3047.6,26.50815,3047.6,83.02423,3047.6,-9.24112,3047.6,16.02368,3047.6,62.65682,3047.6,47.93126
3046.36,21.3269,3046.36,79.53896,3046.36,-0.60322,3046.36,17.5239,3046.36,57.00166,3046.36,35.58447
3045.13,26.00736,3045.13,80.98044,3045.13,-2.53607,3045.13,18.94564,3045.13,45.75865,3045.13,29.65479
3043.89,28.18553,3043.89,69.25275,3043.89,-1.68932,3043.89,26.12646,3043.89,42.75363,3043.89,20.57399
3042.65,31.89559,3042.65,66.83639,3042.65,1.3043,3042.65,15.26844,3042.65,35.84816,3042.65,3.10544
3041.42,22.9992,3041.42,71.1111,3041.42,2.23605,3041.42,5.52294,3041.42,32.90063,3041.42,-11.64524
3040.18,19.23147,3040.18,77.74619,3040.18,2.82779,3040.18,7.95299,3040.18,40.1819,3040.18,-15.05566
3038.94,14.44208,3038.94,80.53539,3038.94,-5.70363,3038.94,4.98775,3038.94,46.28387,3038.94,-8.18636
3037.71,18.09383,3037.71,81.68575,3037.71,3.64857,3037.71,7.81674,3037.71,47.32298,3037.71,-6.592
3036.47,12.91807,3036.47,71.39471,3036.47,-5.76877,3036.47,6.19712,3036.47,47.11895,3036.47,-12.08498
3035.23,20.86764,3035.23,75.81081,3035.23,-12.91071,3035.23,12.74654,3035.23,45.92901,3035.23,-7.5914
3033.99,24.30315,3033.99,74.62769,3033.99,-17.07716,3033.99,18.22448,3033.99,46.16148,3033.99,-8.04207
3032.75,24.08438,3032.75,68.22661,3032.75,-28.68308,3032.75,15.93335,3032.75,41.68351,3032.75,-2.19168
3031.51,20.99157,3031.51,70.28406,3031.51,-36.70921,3031.51,15.97941,3031.51,41.55543,3031.51,2.46228
3030.27,26.06001,3030.27,70.06036,3030.27,-39.28905,3030.27,26.90291,3030.27,34.2494,3030.27,7.46169
3029.04,23.27914,3029.04,64.34968,3029.04,-47.28436,3029.04,33.65203,3029.04,22.96537,3029.04,4.11588
3027.8,30.21804,3027.8,70.54291,3027.8,-50.28214,3027.8,43.26711,3027.8,32.76428,3027.8,-7.30824
3026.56,30.89426,3026.56,68.6729,3026.56,-42.75041,3026.56,43.35769,3026.56,30.47942,3026.56,-7.92525
3025.32,40.3817,3025.32,74.29014,3025.32,-42.5026,3025.32,44.22829,3025.32,23.91782,3025.32,-20.70035
3024.08,37.35709,3024.08,67.65498,3024.08,-37.82596,3024.08,45.41095,3024.08,19.90006,3024.08,-23.4863
3022.84,40.06966,3022.84,67.42904,3022.84,-36.37299,3022.84,44.47007,3022.84,17.80898,3022.84,-19.43291
3021.6,37.46135,3021.6,64.27697,3021.6,-28.23923,3021.6,45.29921,3021.6,17.81053,3021.6,-17.2607
3020.36,31.40275,3020.36,62.43828,3020.36,-28.55855,3020.36,43.97422,3020.36,21.6577,3020.36,-17.53581
3019.11,31.00299,3019.11,59.49516,3019.11,-20.92904,3019.11,43.65371,3019.11,26.92806,3019.11,-24.3635
3017.87,25.38173,3017.87,67.73197,3017.87,-18.89968,3017.87,33.47334,3017.87,32.2576,3017.87,-24.46882
3016.63,11.11547,3016.63,70.05025,3016.63,-12.43111,3016.63,26.18983,3016.63,37.12533,3016.63,-30.53704
3015.39,4.62803,3015.39,68.39646,3015.39,-10.88957,3015.39,26.79101,3015.39,42.11943,3015.39,-25.41107
3014.15,8.47851,3014.15,73.04756,3014.15,-7.64265,3014.15,23.71654,3014.15,35.1553,3014.15,-27.70181
3012.91,12.67349,3012.91,72.05807,3012.91,-2.27541,3012.91,24.14424,3012.91,36.68592,3012.91,-34.5408
3011.67,7.83056,3011.67,67.53359,3011.67,-2.32537,3011.67,19.73936,3011.67,40.33955,3011.67,-36.04319
3010.42,1.8965,3010.42,69.10203,3010.42,2.29517,3010.42,26.91756,3010.42,39.33089,3010.42,-34.50929
3009.18,1.13877,3009.18,68.10814,3009.18,9.17213,3009.18,19.60572,3009.18,38.65934,3009.18,-32.8309
3007.94,-3.81664,3007.94,69.51123,3007.94,2.85105,3007.94,10.94095,3007.94,33.50004,3007.94,-31.86916
3006.69,-0.96234,3006.69,68.69206,3006.69,5.22546,3006.69,13.18887,3006.69,32.44411,3006.69,-27.72424
3005.45,3.21581,3005.45,72.61996,3005.45,-1.74868,3005.45,16.47795,3005.45,25.6066,3005.45,-30.19352
3004.21,-1.24671,3004.21,78.47538,3004.21,-5.88965,3004.21,10.90516,3004.21,12.97481,3004.21,-35.12444
3002.96,4.21103,3002.96,81.77877,3002.96,-6.63748,3002.96,14.08201,3002.96,18.96265,3002.96,-35.74489
3001.72,2.59826,3001.72,76.28016,3001.72,-2.56232,3001.72,11.527,3001.72,19.20536,3001.72,-28.59786
3000.48,4.22236,3000.48,80.17827,3000.48,-3.81979,3000.48,16.56232,3000.48,7.93755,3000.48,-24.08887
2999.23,-4.76131,2999.23,77.3121,2999.23,-7.56098,2999.23,18.35289,2999.23,14.58216,2999.23,-12.95304
2997.99,-11.19206,2997.99,76.11544,2997.99,-18.89335,2997.99,16.73671,2997.99,23.67891,2997.99,4.23823
2996.74,-19.79802,2996.74,82.27115,2996.74,-16.33714,2996.74,13.67798,2996.74,34.9375,2996.74,-1.36942
2995.5,-21.2156,2995.5,89.33508,2995.5,-13.15918,2995.5,13.59457,2995.5,37.21231,2995.5,-0.64479
2994.25,-13.5746,2994.25,91.05954,2994.25,-11.40179,2994.25,12.60341,2994.25,45.21834,2994.25,1.7165
2993.01,-8.95529,2993.01,93.26445,2993.01,-12.90902,2993.01,1.59628,2993.01,57.1341,2993.01,-2.71338
2991.76,-10.53,2991.76,94.98539,2991.76,-5.29821,2991.76,2.64711,2991.76,64.22946,2991.76,-11.09498
